date,site,day_of_week,is_weekend,is_peak_season,order_volume,core_staff,temp_staff,total_staff,temp_staff_ratio,absenteeism_pct,labor_hours,units_processed,throughput_per_labor_hour,backlog_units,defect_rate_pct,on_time_dispatch_pct,safety_incident,late_dispatch_risk
2024-01-13,PETE1,Saturday,True,False,7886,209,29,238,0.122,7.14,1785.0,33030,18.5,0,2.03,95.77,0,0
2024-01-14,BIRM1,Sunday,True,False,6223,174,0,174,0.0,10.98,1305.0,23409,17.94,0,0.88,96.79,0,0
2024-01-14,DONC3,Sunday,True,False,6088,176,54,230,0.235,7.67,1725.0,25070,14.53,0,2.24,96.91,0,0
2024-01-14,LEEDS1,Sunday,True,False,8147,212,65,277,0.235,9.55,2077.5,33304,16.03,21,1.61,97.49,0,0
2024-01-14,MANC2,Sunday,True,False,7357,215,19,234,0.081,7.88,1755.0,28789,16.4,0,2.85,96.06,0,0
2024-01-14,PETE1,Sunday,True,False,7894,208,48,256,0.188,9.46,1920.0,33616,17.51,97,2.03,95.35,0,0
2024-01-15,BIRM1,Monday,False,False,15269,172,54,226,0.239,8.92,1695.0,28503,16.82,0,1.97,98.7,0,0
2024-01-15,DONC3,Monday,False,False,12901,182,44,226,0.195,8.53,1695.0,24031,14.18,100,1.42,95.91,0,0
2024-01-15,LEEDS1,Monday,False,False,14073,229,35,264,0.133,9.57,1980.0,35985,18.17,313,2.06,97.54,0,0
2024-01-15,MANC2,Monday,False,False,13288,202,38,240,0.158,8.86,1800.0,29208,16.23,164,2.07,97.19,0,0
2024-01-15,PETE1,Monday,False,False,16663,198,54,252,0.214,6.62,1890.0,34777,18.4,0,2.55,96.82,0,0
2024-01-16,BIRM1,Tuesday,False,False,14421,172,51,223,0.229,8.59,1672.5,30267,18.1,392,2.7,95.18,0,0
2024-01-16,DONC3,Tuesday,False,False,13831,173,46,219,0.21,8.62,1642.5,25577,15.57,32,1.82,95.3,0,0
2024-01-16,LEEDS1,Tuesday,False,False,16731,218,18,236,0.076,9.93,1770.0,32530,18.38,89,1.62,97.25,0,0
2024-01-16,MANC2,Tuesday,False,False,14795,209,32,241,0.133,7.37,1807.5,30093,16.65,0,1.75,97.34,0,0
2024-01-16,PETE1,Tuesday,False,False,15587,206,33,239,0.138,8.98,1792.5,33769,18.84,0,2.58,95.63,0,0
2024-01-17,BIRM1,Wednesday,False,False,14399,178,44,222,0.198,11.18,1665.0,27550,16.55,0,0.95,97.94,0,0
2024-01-17,DONC3,Wednesday,False,False,12675,173,38,211,0.18,6.06,1582.5,23519,14.86,146,1.88,95.19,0,1
2024-01-17,LEEDS1,Wednesday,False,False,14934,212,29,241,0.12,8.71,1807.5,30479,16.86,315,2.34,96.66,0,0
2024-01-17,MANC2,Wednesday,False,False,12959,204,41,245,0.167,9.52,1837.5,26147,14.23,0,1.62,95.82,0,0
2024-01-17,PETE1,Wednesday,False,False,16063,208,32,240,0.133,8.89,1800.0,33591,18.66,70,0.99,96.74,0,0
2024-01-18,BIRM1,Thursday,False,False,12211,175,39,214,0.182,8.73,1605.0,26695,16.63,439,2.16,97.03,0,0
2024-01-18,DONC3,Thursday,False,False,12564,181,51,232,0.22,7.46,1740.0,27870,16.02,439,1.8,97.43,0,0
2024-01-18,LEEDS1,Thursday,False,False,13936,228,51,279,0.183,10.02,2092.5,37945,18.13,569,2.08,95.02,0,1
2024-01-18,MANC2,Thursday,False,False,13928,207,15,222,0.068,6.08,1665.0,27775,16.68,0,1.05,97.52,0,0
2024-01-18,PETE1,Thursday,False,False,15699,209,39,248,0.157,6.58,1860.0,36561,19.66,270,1.8,97.48,0,0
2024-01-19,BIRM1,Friday,False,False,15188,178,29,207,0.14,7.6,1552.5,24662,15.89,141,1.43,97.11,0,0
2024-01-19,DONC3,Friday,False,False,11123,186,47,233,0.202,9.53,1747.5,25087,14.36,112,2.31,97.46,0,0
2024-01-19,LEEDS1,Friday,False,False,14638,229,45,274,0.164,9.95,2055.0,36978,17.99,820,2.3,93.79,0,1
2024-01-19,MANC2,Friday,False,False,13216,201,29,230,0.126,8.9,1725.0,25757,14.93,0,2.24,97.15,0,0
2024-01-19,PETE1,Friday,False,False,15070,210,50,260,0.192,7.86,1950.0,38638,19.81,124,2.26,95.12,0,1
2024-01-20,BIRM1,Saturday,True,False,7999,174,43,217,0.198,7.99,1627.5,27999,17.2,87,2.21,97.05,0,0
2024-01-20,DONC3,Saturday,True,False,6895,174,57,231,0.247,8.18,1732.5,27029,15.6,480,1.93,96.82,0,0
2024-01-20,LEEDS1,Saturday,True,False,8057,215,40,255,0.157,8.34,1912.5,33498,17.52,214,2.07,96.25,0,0
2024-01-20,MANC2,Saturday,True,False,7673,207,54,261,0.207,9.83,1957.5,30959,15.82,0,1.81,98.49,0,0
2024-01-20,PETE1,Saturday,True,False,8995,200,50,250,0.2,10.22,1875.0,33883,18.07,0,2.26,97.34,0,0
2024-01-21,BIRM1,Sunday,True,False,6958,172,42,214,0.196,8.51,1605.0,28909,18.01,0,1.78,96.01,0,0
2024-01-21,DONC3,Sunday,True,False,7634,176,17,193,0.088,,1447.5,20373,14.07,0,1.48,98.95,0,0
2024-01-21,LEEDS1,Sunday,True,False,7408,228,17,245,0.069,7.39,1837.5,32586,17.73,213,1.61,97.36,0,0
2024-01-21,MANC2,Sunday,True,False,6865,199,45,244,0.184,7.98,1830.0,27394,14.97,431,1.97,95.37,0,0
2024-01-21,PETE1,Sunday,True,False,7656,212,27,239,0.113,8.33,1792.5,31793,17.74,56,1.66,97.89,0,0
2024-01-22,BIRM1,Monday,False,False,14926,174,9,183,0.049,11.04,1372.5,24431,17.8,0,1.14,97.01,0,0
2024-01-22,DONC3,Monday,False,False,11785,185,56,241,0.232,8.79,1807.5,27914,15.44,624,2.47,94.73,0,1
2024-01-22,LEEDS1,Monday,False,False,16110,226,55,281,0.196,10.06,2107.5,38529,18.28,316,1.52,95.72,0,0
2024-01-22,MANC2,Monday,False,False,13759,215,32,247,0.13,7.95,1852.5,30365,16.39,0,1.51,97.9,0,0
2024-01-22,PETE1,Monday,False,False,16086,205,38,243,0.156,10.73,1822.5,36613,20.09,0,1.93,97.1,0,0
2024-01-23,BIRM1,Tuesday,False,False,13922,177,38,215,0.177,7.67,1612.5,28431,17.63,0,1.96,96.35,0,0
2024-01-23,DONC3,Tuesday,False,False,12011,174,24,198,0.121,6.47,1485.0,24475,16.48,177,2.36,95.73,0,0
2024-01-23,LEEDS1,Tuesday,False,False,15112,227,97,324,0.299,10.1,2430.0,43102,17.74,70,2.36,95.12,0,1
2024-01-23,MANC2,Tuesday,False,False,13883,204,18,222,0.081,8.87,1665.0,26159,15.71,171,2.15,97.56,0,0
2024-01-23,PETE1,Tuesday,False,False,15981,201,25,226,0.111,6.6,1695.0,31006,18.29,87,1.16,96.67,0,0
2024-01-24,BIRM1,Wednesday,False,False,14005,171,1,172,0.006,7.52,1290.0,22468,17.42,0,0.95,98.97,0,0
2024-01-24,DONC3,Wednesday,False,False,13264,184,29,213,0.136,7.77,1597.5,24970,15.63,112,2.5,95.47,0,0
2024-01-24,LEEDS1,Wednesday,False,False,13499,222,39,261,0.149,7.86,1957.5,35832,18.31,0,1.53,98.21,0,0
2024-01-24,MANC2,Wednesday,False,False,13416,201,60,261,0.23,10.24,1957.5,26823,13.7,290,2.82,94.04,0,1
2024-01-24,PETE1,Wednesday,False,False,13631,203,23,226,0.102,6.95,1695.0,30265,17.86,0,1.76,96.95,0,0
2024-01-25,BIRM1,Thursday,False,False,15299,179,10,189,0.053,9.16,1417.5,24548,17.32,0,1.5,99.3,0,0
2024-01-25,DONC3,Thursday,False,False,13629,174,30,204,0.147,7.91,1530.0,24755,16.18,0,2.17,96.93,0,0
2024-01-25,LEEDS1,Thursday,False,False,14128,224,50,274,0.182,11.37,2055.0,38781,18.87,409,2.42,95.73,0,0
2024-01-25,MANC2,Thursday,False,False,12763,205,60,265,0.226,9.77,1987.5,32186,16.19,0,1.89,98.31,0,0
2024-01-25,PETE1,Thursday,False,False,15486,200,33,233,0.142,7.54,1747.5,34835,19.93,0,0.76,96.52,0,0
2024-01-26,BIRM1,Friday,False,False,13621,172,45,217,0.207,9.17,1627.5,29678,18.24,0,1.13,95.39,0,0
2024-01-26,DONC3,Friday,False,False,13836,181,55,236,0.233,9.27,1770.0,27010,15.26,384,2.14,95.28,0,0
2024-01-26,LEEDS1,Friday,False,False,15054,213,33,246,0.134,6.5,1845.0,33783,18.31,260,1.35,96.57,0,0
2024-01-26,MANC2,Friday,False,False,13977,210,47,257,0.183,4.91,1927.5,32212,16.71,415,2.53,97.66,0,0
2024-01-26,PETE1,Friday,False,False,15709,202,47,249,0.189,7.74,1867.5,34818,18.64,0,2.16,98.4,0,0
2024-01-27,BIRM1,Saturday,True,False,8758,169,39,208,0.188,5.94,1560.0,26596,17.05,0,2.38,96.76,0,0
2024-01-27,DONC3,Saturday,True,False,7220,173,49,222,0.221,8.59,1665.0,25538,15.34,166,1.73,98.22,0,0
2024-01-27,LEEDS1,Saturday,True,False,9497,224,46,270,0.17,8.95,2025.0,38307,18.92,0,2.53,95.49,0,0
2024-01-27,MANC2,Saturday,True,False,8087,208,31,239,0.13,9.99,1792.5,29720,16.58,0,1.73,98.09,0,0
2024-01-27,PETE1,Saturday,True,False,6714,215,34,249,0.137,8.39,1867.5,34577,18.52,0,2.18,96.49,0,0
2024-01-28,BIRM1,Sunday,True,False,6484,178,35,213,0.164,8.67,1597.5,22967,14.38,0,1.43,97.56,0,0
2024-01-28,DONC3,Sunday,True,False,7673,173,36,209,0.172,7.39,1567.5,23925,15.26,536,2.26,96.18,0,0
2024-01-28,LEEDS1,Sunday,True,False,7061,214,36,250,0.144,10.75,1875.0,28152,15.01,0,1.6,95.81,0,0
2024-01-28,MANC2,Sunday,True,False,8946,214,32,246,0.13,8.68,1845.0,29178,15.81,421,2.57,96.57,0,0
2024-01-28,PETE1,Sunday,True,False,7339,206,48,254,0.189,9.56,1905.0,34893,18.32,0,2.1,96.47,0,0
2024-01-29,BIRM1,Monday,False,False,16189,165,48,213,0.225,,1597.5,27350,17.12,53,1.63,98.77,0,0
2024-01-29,DONC3,Monday,False,False,11925,173,11,184,0.06,10.06,1380.0,20361,14.75,429,1.71,96.16,0,0
2024-01-29,LEEDS1,Monday,False,False,14348,219,41,260,0.158,10.07,1950.0,37956,19.46,121,2.19,96.15,0,0
2024-01-29,MANC2,Monday,False,False,12380,213,25,238,0.105,10.09,1785.0,30586,17.13,10,1.21,97.08,0,0
2024-01-29,PETE1,Monday,False,False,15191,205,35,240,0.146,11.0,1800.0,35823,19.9,289,1.6,96.58,0,0
2024-01-30,BIRM1,Tuesday,False,False,14545,176,40,216,0.185,6.32,1620.0,26331,16.25,108,2.08,96.55,0,0
2024-01-30,DONC3,Tuesday,False,False,11526,173,44,217,0.203,8.07,1627.5,24183,14.86,52,1.79,94.83,0,1
2024-01-30,LEEDS1,Tuesday,False,False,14749,224,11,235,0.047,10.04,1762.5,34886,19.79,0,1.3,97.92,0,0
2024-01-30,MANC2,Tuesday,False,False,13595,199,16,215,0.074,5.6,1612.5,27084,16.8,513,2.03,95.69,0,0
2024-01-30,PETE1,Tuesday,False,False,16632,209,22,231,0.095,9.44,1732.5,34967,20.18,0,0.88,94.77,0,1
2024-01-31,BIRM1,Wednesday,False,False,14797,169,51,220,0.232,9.13,1650.0,26713,16.19,0,1.94,95.78,0,0
2024-01-31,DONC3,Wednesday,False,False,12955,186,69,255,0.271,9.58,1912.5,25187,13.17,0,2.02,95.94,0,0
2024-01-31,LEEDS1,Wednesday,False,False,14925,213,30,243,0.123,9.56,1822.5,31710,17.4,0,1.49,98.11,0,0
2024-01-31,MANC2,Wednesday,False,False,12432,207,38,245,0.155,11.03,1837.5,29173,15.88,0,1.66,97.47,0,0
2024-01-31,PETE1,Wednesday,False,False,14894,203,13,216,0.06,7.17,1620.0,31656,19.54,297,1.89,96.7,0,0
2024-02-01,BIRM1,Thursday,False,False,14208,167,44,211,0.209,8.97,1582.5,27813,17.58,0,2.09,96.55,0,0
2024-02-01,DONC3,Thursday,False,False,12052,186,62,248,0.25,10.27,1860.0,27447,14.76,0,2.25,94.41,0,1
2024-02-01,LEEDS1,Thursday,False,False,15862,215,30,245,0.122,9.55,1837.5,33762,18.37,183,1.73,96.79,0,0
2024-02-01,MANC2,Thursday,False,False,13717,211,37,248,0.149,9.3,1860.0,27012,14.52,262,2.24,96.52,0,0
2024-02-01,PETE1,Thursday,False,False,14718,208,43,251,0.171,9.45,1882.5,37454,19.9,0,1.84,98.22,0,0
2024-02-02,BIRM1,Friday,False,False,14342,178,30,208,0.144,6.32,1560.0,26866,17.22,0,1.2,96.27,0,0
2024-02-02,DONC3,Friday,False,False,13619,173,28,201,0.139,7.43,1507.5,21006,13.93,0,2.26,96.22,0,0
2024-02-02,LEEDS1,Friday,False,False,15138,228,36,264,0.136,10.36,1980.0,34280,17.31,0,1.78,96.91,0,0
2024-02-02,MANC2,Friday,False,False,12963,203,54,257,0.21,8.06,1927.5,28696,14.89,11,2.33,96.85,0,0
2024-02-02,PETE1,Friday,False,False,15417,200,39,239,0.163,,1792.5,31903,17.8,0,2.22,95.91,0,0
2024-02-03,BIRM1,Saturday,True,False,7082,177,25,202,0.124,7.8,1515.0,25948,17.13,32,1.56,96.83,0,0
2024-02-03,DONC3,Saturday,True,False,7022,175,38,213,0.178,6.99,1597.5,24668,15.44,341,2.6,95.85,0,0
2024-02-03,LEEDS1,Saturday,True,False,8830,212,36,248,0.145,9.52,1860.0,33358,17.93,0,1.75,97.52,0,0
2024-02-03,MANC2,Saturday,True,False,8134,212,52,264,0.197,8.04,1980.0,33679,17.01,226,2.59,96.18,0,0
2024-02-03,PETE1,Saturday,True,False,8150,209,38,247,0.154,8.36,1852.5,34290,18.51,0,1.79,96.55,0,0
2024-02-04,BIRM1,Sunday,True,False,9685,168,32,200,0.16,11.04,1500.0,24598,16.4,550,1.82,94.07,0,1
2024-02-04,DONC3,Sunday,True,False,7467,184,27,211,0.128,8.89,1582.5,24079,15.22,0,0.96,98.83,0,0
2024-02-04,LEEDS1,Sunday,True,False,7280,224,21,245,0.086,9.42,1837.5,33961,18.48,0,1.5,95.06,0,1
2024-02-04,MANC2,Sunday,True,False,7640,200,54,254,0.213,8.82,1905.0,31062,16.31,0,1.98,98.08,0,0
2024-02-04,PETE1,Sunday,True,False,7707,212,25,237,0.105,9.22,1777.5,35704,20.09,0,1.67,97.41,0,0
2024-02-05,BIRM1,Monday,False,False,13537,166,33,199,0.166,11.19,1492.5,24368,16.33,0,1.43,98.25,0,0
2024-02-05,DONC3,Monday,False,False,13534,179,25,204,0.123,9.11,1530.0,23502,15.36,0,1.8,97.39,0,0
2024-02-05,LEEDS1,Monday,False,False,16116,214,49,263,0.186,11.63,1972.5,34637,17.56,0,1.66,97.23,0,0
2024-02-05,MANC2,Monday,False,False,12880,214,23,237,0.097,9.63,1777.5,30529,17.18,0,1.52,98.06,0,0
2024-02-05,PETE1,Monday,False,False,15827,215,47,262,0.179,8.91,1965.0,34364,17.49,453,2.15,95.79,0,0
2024-02-06,BIRM1,Tuesday,False,False,13726,176,28,204,0.137,7.39,1530.0,26250,17.16,130,1.34,96.57,0,0
2024-02-06,DONC3,Tuesday,False,False,12558,176,21,197,0.107,7.31,1477.5,21058,14.25,0,1.93,95.55,0,0
2024-02-06,LEEDS1,Tuesday,False,False,13542,227,18,245,0.073,7.7,1837.5,35271,19.2,0,2.09,96.32,0,0
2024-02-06,MANC2,Tuesday,False,False,13802,205,55,260,0.212,10.93,1950.0,31338,16.07,617,2.07,94.26,0,1
2024-02-06,PETE1,Tuesday,False,False,16189,213,26,239,0.109,9.56,1792.5,35547,19.83,161,1.51,97.01,0,0
2024-02-07,BIRM1,Wednesday,False,False,14869,177,32,209,0.153,10.18,1567.5,27237,17.38,161,1.49,96.33,0,0
2024-02-07,DONC3,Wednesday,False,False,13365,174,27,201,0.134,7.07,1507.5,22247,14.76,292,1.53,95.44,0,0
2024-02-07,LEEDS1,Wednesday,False,False,14696,223,59,282,0.209,9.43,2115.0,36602,17.31,121,2.28,95.87,0,0
2024-02-07,MANC2,Wednesday,False,False,13803,210,64,274,0.234,10.8,2055.0,32233,15.69,0,2.35,97.72,0,0
2024-02-07,PETE1,Wednesday,False,False,16728,213,48,261,0.184,9.37,1957.5,39721,20.29,41,1.7,97.45,0,0
2024-02-08,BIRM1,Thursday,False,False,15035,166,28,194,0.144,6.28,1455.0,26745,18.38,0,1.57,95.77,0,0
2024-02-08,DONC3,Thursday,False,False,12530,185,27,212,0.127,5.19,1590.0,25575,16.08,69,1.12,97.35,0,0
2024-02-08,LEEDS1,Thursday,False,False,14879,213,40,253,0.158,9.07,1897.5,33563,17.69,683,2.33,94.95,0,1
2024-02-08,MANC2,Thursday,False,False,13613,207,48,255,0.188,8.29,1912.5,29502,15.43,25,2.05,95.53,0,0
2024-02-08,PETE1,Thursday,False,False,14862,204,29,233,0.124,9.29,1747.5,30409,17.4,90,2.03,97.09,0,0
2024-02-09,BIRM1,Friday,False,False,14538,176,4,180,0.022,7.65,1350.0,25868,19.16,0,1.71,96.24,0,0
2024-02-09,DONC3,Friday,False,False,11855,181,46,227,0.203,6.64,1702.5,23874,14.02,276,2.76,95.89,0,0
2024-02-09,LEEDS1,Friday,False,False,16188,223,38,261,0.146,9.67,1957.5,33263,16.99,0,0.86,97.2,0,0
2024-02-09,MANC2,Friday,False,False,12819,209,48,257,0.187,9.08,1927.5,31987,16.59,322,1.53,95.99,0,0
2024-02-09,PETE1,Friday,False,False,15087,211,58,269,0.216,7.81,2017.5,35261,17.48,71,1.75,97.79,0,0
2024-02-10,BIRM1,Saturday,True,False,7003,179,28,207,0.135,6.77,1552.5,26116,16.82,0,2.07,97.22,0,0
2024-02-10,DONC3,Saturday,True,False,7004,184,18,202,0.089,10.45,1515.0,24806,16.37,0,1.2,96.96,0,0
2024-02-10,LEEDS1,Saturday,True,False,8358,218,68,286,0.238,9.19,2145.0,38729,18.06,223,2.76,96.39,0,0
2024-02-10,MANC2,Saturday,True,False,6479,207,23,230,0.1,7.7,1725.0,28305,16.41,0,1.2,97.06,0,0
2024-02-10,PETE1,Saturday,True,False,7797,200,29,229,0.127,7.75,1717.5,31580,18.39,421,2.56,97.36,0,0
2024-02-11,BIRM1,Sunday,True,False,7414,167,50,217,0.23,6.71,1627.5,29898,18.37,0,1.83,97.41,0,0
2024-02-11,DONC3,Sunday,True,False,5972,180,26,206,0.126,10.03,1545.0,22015,14.25,343,1.91,95.02,0,1
2024-02-11,LEEDS1,Sunday,True,False,7979,227,38,265,0.143,8.16,1987.5,32584,16.39,406,1.9,97.42,0,0
2024-02-11,MANC2,Sunday,True,False,8412,208,64,272,0.235,9.31,2040.0,31813,15.59,0,1.85,97.37,0,0
2024-02-11,PETE1,Sunday,True,False,9342,200,46,246,0.187,6.78,1845.0,34723,18.82,0,2.5,96.16,0,0
2024-02-12,BIRM1,Monday,False,False,13425,167,67,234,0.286,8.88,1755.0,29390,16.75,0,1.77,95.7,0,0
2024-02-12,DONC3,Monday,False,False,11789,185,98,283,0.346,12.77,2122.5,27781,13.09,0,2.87,96.55,0,0
